TID;CIVILSTAND;KØN;OMRÅDE;ALDER;INDHOLD
2020K1 2020K1;TOT I alt;TOT I alt;101 København;IALT I alt;632340
2020K1 2020K1;TOT I alt;TOT I alt;851 Aalborg;IALT I alt;217075
2020K1 2020K1;TOT I alt;TOT I alt;561 Esbjerg;IALT I alt;115483
2020K1 2020K1;TOT I alt;TOT I alt;461 Odense;IALT I alt;204895
2020K1 2020K1;TOT I alt;TOT I alt;751 Aarhus;IALT I alt;349983
2020K1 2020K1;U Ugift;TOT I alt;101 København;IALT I alt;412512
2020K1 2020K1;U Ugift;TOT I alt;851 Aalborg;IALT I alt;118194
2020K1 2020K1;U Ugift;TOT I alt;561 Esbjerg;IALT I alt;55014
2020K1 2020K1;U Ugift;TOT I alt;461 Odense;IALT I alt;112490
2020K1 2020K1;U Ugift;TOT I alt;751 Aarhus;IALT I alt;208509
